customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
APEX-PRO_001,Apex Systems,Biotechnology,t.harris,2021-01-01,,active,Pro,418.99,19,2026-02-11,5,46.1,83.3,85.1,0.17,2025-12-29,Auto-generated note.
QUANTUM-PRO_002,Quantum Network,Agriculture,n.riley,2026-03-02,,trial,Pro,0,28,2026-03-18,24,88.9,,,0.5,2026-02-16,Auto-generated note.
QUANTUM-BSC_003,Quantum Services,Government,k.jones,2026-03-08,,trial,Basic,0,2,2026-02-12,0,19.5,,,0.17,2026-02-20,Auto-generated note.
ALPHA-PRO_004,Alpha Partners,Healthcare,,2025-10-09,,active,Pro,418.99,53,2026-02-10,27,88.6,,,0.73,2026-01-31,Auto-generated note.
NEXUS-PRO_005,Nexus Technologies,Pharmaceutical,,2023-09-30,,active,Pro,418.99,60,2026-03-01,39,22.9,97.4,60.8,0.3,2026-01-19,Auto-generated note.
ZENITH-PRO_006,Zenith Services,Healthcare,j.smith,2022-08-23,,active,Pro,418.99,56,2026-03-10,54,24.2,71.2,70.6,0.67,2026-01-28,Auto-generated note.
BETA-BSC_007,Beta Labs,Aerospace,m.davis,2025-08-10,,active,Basic,29.99,11,2026-01-28,2,25.5,96.9,,0.41,2026-01-12,Auto-generated note.
VERTEX-BSC_008,Vertex Corp,Construction,k.jones,2020-11-04,,paused,Basic,29.99,3,2026-03-15,2,24.4,92.2,78.6,0.35,2026-01-30,Auto-generated note.
ALPHA-ENT_009,Alpha Corp,Finance,t.harris,2026-03-11,,trial,Enterprise,0,1128,2026-03-18,25,14.0,,,0.67,2026-03-05,Auto-generated note.
BETA-BSC_010,Beta Systems,Government,t.harris,2026-03-22,,trial,Basic,0,5,2026-03-19,1,92.2,,,0.14,2025-12-28,Auto-generated note.
DELTA-BSC_011,Delta Systems,Finance,n.riley,2026-03-20,,trial,Basic,0,2,2026-02-21,2,94.0,,,0.39,2026-02-03,Auto-generated note.
DELTA-PRO_012,Delta Group,Media,,2025-07-24,2025-12-30,expired,Pro,418.99,74,2025-12-13,56,78.0,77.3,,0.86,2026-01-03,Auto-generated note.
HORIZON-ENT_013,Horizon Group,Research,m.davis,2025-04-17,2025-10-15,expired,Enterprise,4100,1345,2025-08-30,560,89.5,73.3,,0.83,2025-12-30,Auto-generated note.
APEX-ENT_014,Apex Solutions,Retail,j.smith,2021-08-01,,active,Enterprise,4100,453,2026-02-07,307,86.1,76.1,73.9,0.09,2026-02-27,Auto-generated note.
QUANTUM-BSC_015,Quantum Technologies,Transportation,,2025-02-27,,active,Basic,29.99,4,2026-02-23,0,15.6,81.6,80.3,0.25,2026-01-05,Auto-generated note.
ZENITH-PRO_016,Zenith Network,Professional Services,t.harris,2026-01-23,,active,Pro,418.99,63,2026-02-28,17,33.1,,,0.23,2025-12-30,Auto-generated note.
GAMMA-PRO_017,Gamma Solutions,Construction,n.riley,2020-09-25,2023-07-12,expired,Pro,418.99,94,2021-09-30,6,75.6,75.0,60.3,0.98,2026-03-17,Auto-generated note.
HORIZON-ENT_018,Horizon Solutions,Aerospace,k.jones,2026-03-07,,trial,Enterprise,0,159,2026-02-06,87,98.8,,,0.32,2026-02-06,Auto-generated note.
QUANTUM-PRO_019,Quantum Network,Media,,2020-06-12,,active,Pro,418.99,63,2026-03-13,18,45.3,84.9,96.7,0.7,2026-02-20,Auto-generated note.
HORIZON-PRO_020,Horizon Systems,Pharmaceutical,m.davis,2020-07-28,,active,Pro,418.99,59,2026-02-06,42,23.2,85.5,71.9,0.1,2026-03-10,Auto-generated note.
